timestamp,city,source,aqi_now,pm25,pm10,no2,so2,risk_now,aqi_24h,aqi_48h,aqi_72h
2026-04-05T13:58:12.250677Z,Delhi,LIVE SATELLITE,153,45.9,295.2,18.4,13.6,Unhealthy,175.37,212.07,249.11
2026-04-05T13:58:22.439877Z,Mumbai,LIVE SATELLITE,70,15.2,29.2,7.7,17.4,Moderate,98.86,132.87,168.7
